# materialGroupsV2 -- location x material-class x uncertainty-class
# generated by makeMaterialGroupsV2.py from /work/submit/david_w/ZMass/calibration_studies/resolution/runs/260731_audit/material_audit.txt
# RULE	groupId	groupName	nameRegex	rmin	rmax	zmin	zmax	zside	k_init	prior_sigma
# first matching rule wins; unmatched volumes -> group 0 (other)
RULE	30	tec_metal	^(TECAlignHolder|TECBeamsplitter|TECCCUM|TECCable10F|TECCircPipe|TECCool1|TECCool2|TECCool3|TECCool4|TECCool5|TECCtrlBox|TECFixSupportA|TECFixSupportB|TECFrontPlateFixB|TECGroundingRing|TECICC01LF1|TECICC01LF3|TECICC0F1|TECICC0LB1|TECICC0LB2|TECICC1B1|TECICC1B2|TECICC1B3|TECICC1SF2|TECICC2B1|TECICC2B2|TECICC2F1|TECICC35B1|TECICC35B2|TECICC35B3|TECICC35B4|TECICC35F2|TECICC35F4|TECICC46B1|TECICC46B2|TECICC46B3|TECICC46F1|TECInnerManifold|TECModule0Hybrid|TECModule0PA|TECModule0RphiWafer|TECModule0SiReenforce0|TECModule0StereoWafer|TECModule1Hybrid|TECModule1PA|TECModule1RphiWafer|TECModule1SiReenforce0|TECModule1StereoWafer|TECModule2Bridge|TECModule2Hybrid|TECModule2PA|TECModule2RphiWafer|TECModule2SiReenforce0|TECModule3Bridge|TECModule3Hybrid|TECModule3PA|TECModule3RphiWafer|TECModule3SiReenforce0|TECModule3SuppliesBox0|TECModule4Hybrid|TECModule4PA|TECModule4RphiInactive|TECModule4RphiWafer|TECModule4SiReenforce0|TECModule4SiReenforce1|TECModule4StereoInactive|TECModule4StereoWafer|TECModule4SuppliesBox0|TECModule4SuppliesBox1|TECModule5Hybrid|TECModule5PA|TECModule5RphiInactive|TECModule5RphiWafer|TECModule5SiReenforce0|TECModule5SiReenforce1|TECModule5SuppliesBox0|TECModule5SuppliesBox1|TECModule6Hybrid|TECModule6PA|TECModule6RphiInactive|TECModule6RphiWafer|TECModule6SiReenforce0|TECModule6SiReenforce1|TECModule6SuppliesBox0|TECModule6SuppliesBox1|TECOptConnector6|TECOptConnectorB|TECOptConnectorC|TECOptConnectorD|TECOptoHybrid|TECPhiCableLB|TECPhiCableUB|TECPpBoxC|TECPpBoxL|TECPpBoxS|TECPpConnectors|TECRailsConnector|TECWheelInsert)$	-	-	-	-	0	0.0	0.08
RULE	31	tib_metal	^(TIBAOHLedge|TIBDOHMAux|TIBDOHMPrim|TIBDSAOHBox|TIBFlange|TIBLayer0Filler|TIBLayer0InnerMFRing|TIBLayer0OuterMFRing|TIBLayer1Filler|TIBLayer1InnerMFRing|TIBLayer1OuterMFRing|TIBLayer2Filler|TIBLayer2InnerMFRing|TIBLayer2OuterMFRing|TIBLayer3Filler|TIBLayer3InnerMFRing|TIBLayer3OuterMFRing|TIBLedgeSide|TIBLedgeSter|TIBModDummyLedge|TIBModHybLedge|TIBModKaptonBoxRPhi|TIBModKaptonBoxSter|TIBPA1|TIBPA2|TIBSSAOHBox|TIBSpacerHyb|TIBSpacerLedge|TIBSpacerSide|TIBString0LoMinCable|TIBString0LoMinCoolS|TIBString0LoMinCoolW|TIBString0LoPlsCable|TIBString0LoPlsCoolS|TIBString0LoPlsCoolW|TIBString0UpMinCable|TIBString0UpMinCoolW|TIBString0UpPlsCable|TIBString0UpPlsCoolW|TIBString1LoMinCable|TIBString1LoMinCoolS|TIBString1LoPlsCable|TIBString1LoPlsCoolS|TIBString1UpMinCable|TIBString1UpMinCoolS|TIBString1UpMinCoolW|TIBString1UpPlsCable|TIBString1UpPlsCoolS|TIBString1UpPlsCoolW|TIBString2LoMinCable|TIBString2LoMinCoolS|TIBString2LoPlsCable|TIBString2LoPlsCoolS|TIBString2UpMinCable|TIBString2UpMinCoolS|TIBString2UpPlsCable|TIBString2UpPlsCoolS|TIBString2UpPlsCoolW|TIBString3LoMinCable|TIBString3LoMinCoolS|TIBString3LoPlsCable|TIBString3LoPlsCoolS|TIBString3UpMinCable|TIBString3UpMinCoolW|TIBString3UpPlsCable|TIBWaferRphi0|TIBWaferRphi2|TIBWaferSter0)$	-	-	-	-	0	0.0	0.08
RULE	32	tob_metal	^(TOBAOH|TOBAxService_11C|TOBAxService_12A|TOBAxService_13A|TOBAxService_13C|TOBAxService_16A|TOBAxService_16C|TOBAxService_17C|TOBAxService_18A|TOBAxService_2C|TOBAxService_3A|TOBAxService_4A|TOBAxService_4C|TOBAxService_7A|TOBAxService_7C|TOBAxService_8C|TOBAxService_9A|TOBCCUM0|TOBCCUM2|TOBCCUM4|TOBCable|TOBClamp|TOBConn1|TOBConn2|TOBConn3|TOBConn4|TOBConn5|TOBConn6|TOBCoolingManifold1r|TOBCoolingManifold6a|TOBDOHM|TOBEndCoolTube2|TOBHybSup|TOBHybrid0|TOBHybrid2|TOBHybrid4|TOBICC01|TOBICC02|TOBICC21|TOBICC22|TOBICC41|TOBICC42|TOBInactive|TOBModCool01|TOBModCool02|TOBModCool1|TOBModCool2|TOBOptFibre0|TOBOptFibre4|TOBPA1|TOBPA2|TOBPlate01|TOBPlate02|TOBPlate21|TOBPlate22|TOBPlate41|TOBPlate42|TOBRadServices1|TOBRadServices2|TOBRadServices3|TOBRadServices4|TOBRadServices5|TOBRadServices6|TOBRodConn0|TOBRodConn2|TOBRodConn4|TOBSideCoolTube0|TOBWaferRphi0|TOBWaferRphi2|TOBWaferRphi4|TOBWaferSter0)$	-	-	-	-	0	0.0	0.08
RULE	33	tracker_metal	^(DSMCModConn|EILY3|EIPIP_10|MCHead|OuterCables|SFFA|SFModer1Al1|SFModer1Al2|SSMCModConn|TrackerSupportTubeShield|TrackerThermalScreenCooling|TrackerThermalScreenShield|Tracker_PP1_Cables)$	-	-	-	-	0	0.0	0.08
RULE	34	tibtid_metal	^(TIBTIDMargherita|TIBTIDPowerConnectors|TIBTIDPxlFlange|TIBTIDServiceCylinder|TIBTIDServiceDisk1|TIBTIDServiceDisk2|TIBTIDTSTCabAxial|TIBTIDTSTCabRadial)$	-	-	-	-	0	0.0	0.08
RULE	35	tob_composite	^(TOBAlignTube3|TOBAlignTube4|TOBCFTube1|TOBCFTube2|TOBCFTube3|TOBCFTube4|TOBEndRod1|TOBEndRod2|TOBFrame|TOBMidRib0|TOBMidRib1|TOBMidRib2|TOBMidRib3|TOBMidRib4|TOBMidRib5|TOBMidRib6|TOBModCoolComp01|TOBModCoolComp02|TOBModCoolComp1|TOBModCoolComp2|TOBNomexT3In1|TOBNomexT3In2|TOBNomexT3In3|TOBNomexT4In1|TOBNomexT4In2|TOBNomexT4In3|TOBNomexTube1|TOBNomexTube2|TOBPAEncaps|TOBPAEncapsSt|TOBPotting1|TOBPotting2I1|TOBPotting2I2|TOBPotting2I3|TOBSiEncaps|TOBSideRailL|TOBSideRailLst|TOBSideRailR|TOBSideRailRst|TOBSideRod1|TOBSideRod2)$	-	-	-	-	0	0.0	0.2
RULE	36	tib_composite	^(TIBLayer0BWExtPillar|TIBLayer0CentRing2|TIBLayer0Cylinder|TIBLayer0DOHMCarrierBW|TIBLayer0DOHMCarrierFW|TIBLayer0FWExtPillar|TIBLayer1BWExtPillar|TIBLayer1BWIntPillar|TIBLayer1CentRing1|TIBLayer1Cylinder|TIBLayer1DOHMCarrierBW|TIBLayer1DOHMCarrierFW|TIBLayer1FWExtPillar|TIBLayer1FWIntPillar|TIBLayer2BWExtPillar|TIBLayer2BWIntPillar|TIBLayer2CentRing2|TIBLayer2Cylinder|TIBLayer2DOHMCarrierBW|TIBLayer2DOHMCarrierFW|TIBLayer2FWExtPillar|TIBLayer2FWIntPillar|TIBLayer3BWIntPillar|TIBLayer3CentRing2|TIBLayer3Cylinder|TIBLayer3DOHMCarrierBW|TIBLayer3DOHMCarrierFW|TIBLayer3FWIntPillar|TIBModCFFrameHybRPhi|TIBModCFFrameHybSter|TIBModCFFrameRPhi|TIBModCFFrameSter|TIBOutSupport)$	-	-	-	-	0	0.0	0.2
RULE	37	bpix_composite	^(PixelBarrelCFStripFull|PixelBarrelCFStripHalf|PixelBarrelFlange|PixelBarrelShield2|PixelBarrelShield4|PixelBarrelSuppBox|PixelBarrelSuppTub)$	-	-	-	-	0	0.0	0.2
RULE	38	tibtid_composite	^(TIBTIDOptoConnectors|TIBTIDOptoPanelBackInner|TIBTIDOptoPanelBackOuter|TIBTIDOptoPanelFront|TIBTIDPxlFlange2)$	-	-	-	-	0	0.0	0.2
RULE	39	tid_composite	^(TIDModule0RphiSideFrame|TIDModule0StereoSideFrame|TIDModule1RphiSideFrame|TIDModule1StereoSideFrame|TIDModule2BoxFrame|TIDModule2RphiSideFrame|TIDRing0FiberLayer|TIDRing1FiberLayer|TIDRing2FiberLayer|TIDSideDiskIn|TIDStructure0|TIDStructure1|TIDStructure2|TIDSupport|TIDSupportIn)$	-	-	-	-	0	0.0	0.2
RULE	40	fpix_metal	^(PixelForwardBacking1x2|PixelForwardBacking1x2_refl|PixelForwardBacking1x5|PixelForwardBacking1x5_refl|PixelForwardBacking2x3|PixelForwardBacking2x4|PixelForwardBacking2x5|PixelForwardBladeBody02|PixelForwardBladeBody02_refl|PixelForwardBladeBody04|PixelForwardBladeBody04_refl|PixelForwardBladeCover02|PixelForwardBladeCover02_refl|PixelForwardBladeCover04|PixelForwardBladeCover04_refl|PixelForwardBladeTip01|PixelForwardBladeTip01_refl|PixelForwardBump|PixelForwardBumpBond|PixelForwardBumpBond_refl|PixelForwardBumpROChipEpoxy|PixelForwardBumpROChipEpoxy_refl|PixelForwardBump_refl|PixelForwardCylinderPipe1|PixelForwardCylindersPortCards1|PixelForwardCylindersPortCards2|PixelForwardDiskInnerRing|PixelForwardDiskOuterRing|PixelForwardDiskOuterRingEdge|PixelForwardFlexCircuit1x2|PixelForwardFlexCircuit1x2_refl|PixelForwardFlexCircuit1x5|PixelForwardFlexCircuit1x5_refl|PixelForwardFlexCircuit2x3|PixelForwardFlexCircuit2x4|PixelForwardFlexCircuit2x5|PixelForwardHDI|PixelForwardHDI_refl|PixelForwardPanelBaseEarHDI|PixelForwardPanelBaseEarHDI_refl|PixelForwardPanelBaseMainHDI|PixelForwardPanelBaseMainHDI_refl|PixelForwardPanelBaseNoseHDI|PixelForwardPanelBaseNoseHDI_refl|PixelForwardROChip|PixelForwardROChip_refl|PixelForwardSensor1|PixelForwardSensor1_refl|PixelForwardSensor1x2|PixelForwardSensor1x5|PixelForwardSensor2x3|PixelForwardSensor2x4|PixelForwardSensor2x5)$	-	-	-	-	0	0.0	0.08
RULE	41	tid_metal	^(TIDCCUMBox|TIDICC2|TIDManifoldFix|TIDModule0RphiKapton|TIDModule0RphiPA|TIDModule0RphiWafer|TIDModule0StereoKapton|TIDModule0StereoPA|TIDModule0StereoWafer|TIDModule1RphiKapton|TIDModule1RphiPA|TIDModule1RphiWafer|TIDModule1StereoKapton|TIDModule1StereoPA|TIDModule1StereoWafer|TIDModule2Hybrid|TIDModule2RphiKapton|TIDModule2RphiPA|TIDModule2RphiWafer|TIDRing0Cool1|TIDRing0Cool2|TIDRing0CoolManifold|TIDRing0DOHM|TIDRing0FlatCable|TIDRing0ICB|TIDRing0ICBTail|TIDRing1Cool1|TIDRing1Cool2|TIDRing1CoolManifold|TIDRing1DOHM|TIDRing1FlatCable|TIDRing1ICB|TIDRing1ICBTail|TIDRing2Cool1|TIDRing2Cool2|TIDRing2CoolManifold|TIDRing2DOHM|TIDRing2FlatCable|TIDRing2ICB|TIDRing2ICBTail)$	-	-	-	-	0	0.0	0.08
RULE	42	fpix_composite	^(CarbonFiberSkin1|CarbonFiberSkin1_refl|PixelForwardAdhFilm1x2|PixelForwardAdhFilm1x2_refl|PixelForwardAdhFilm1x5|PixelForwardAdhFilm1x5_refl|PixelForwardAdhFilm2x3|PixelForwardAdhFilm2x4|PixelForwardAdhFilm2x5|PixelForwardAdhesiveFilm|PixelForwardAdhesiveFilm_refl|PixelForwardChoTherm1x2|PixelForwardChoTherm1x2_refl|PixelForwardChoTherm1x5|PixelForwardChoTherm1x5_refl|PixelForwardChoTherm2x3|PixelForwardChoTherm2x4|PixelForwardChoTherm2x5|PixelForwardCylinderOuterCyl|PixelForwardEpoxy|PixelForwardEpoxy_refl|PixelForwardPanelBaseEarFilm|PixelForwardPanelBaseEarFilm_refl|PixelForwardPanelBaseMainFilm|PixelForwardPanelBaseMainFilm_refl|PixelForwardPanelBaseNoseFilm|PixelForwardPanelBaseNoseFilm_refl|TPGBladeBase1|TPGBladeBase1_refl)$	-	-	-	-	0	0.0	0.2
RULE	43	coolant	^(EIPIPWa_10|PixelBarrelRadialCooling|PixelForwardBladeChan02_Body|PixelForwardBladeChan02_Body_refl|PixelForwardBladeChan02_Cover|PixelForwardBladeChan02_Cover_refl|TOBCoolingManifoldFluid6a|TOBEndCoolFluid2|TOBSiBackEncaps|TOBSideCoolFluid0)$	-	-	-	-	0	0.0	0.1
RULE	44	air	^(BEAM|CALO|EBAR|ECAL|ETCA|PixelBarrel|PixelBarrelCFStripHoleFull|PixelBarrelCableBoxFull|PixelBarrelCableBoxHalf|PixelBarrelLadderFull|PixelBarrelLadderHalf|PixelBarrelLayer0|PixelBarrelLayer1|PixelBarrelLayer2|PixelBarrelModuleFullMinus|PixelBarrelModuleFullPlus|PixelBarrelModuleHalfMinus|PixelBarrelModuleHalfPlus|PixelForwardBlade|PixelForwardBlade3_refl|PixelForwardBlade4|PixelForwardBladeBase3_refl|PixelForwardBladeBase4|PixelForwardBladeBody05|PixelForwardBladeBody05_refl|PixelForwardBlade_refl|PixelForwardDiskZMinus|PixelForwardDiskZPlus|PixelForwardPanel3Left|PixelForwardPanel3Right|PixelForwardPanel4Left|PixelForwardPanel4Right|PixelForwardPanelBaseBe|PixelForwardPanelBaseBe_refl|PixelForwardPanelBaseFilm|PixelForwardPanelBaseFilm_refl|PixelForwardPanelBaseHDI|PixelForwardPanelBaseHDI_refl|PixelForwardPassive1x2|PixelForwardPassive1x2_refl|PixelForwardPassive1x5|PixelForwardPassive1x5_refl|PixelForwardPassive2x3|PixelForwardPassive2x4|PixelForwardPassive2x5|PixelForwardPilotDiskZMinus|PixelForwardPlaquette1x2Left|PixelForwardPlaquette1x2Right|PixelForwardPlaquette1x5Left|PixelForwardPlaquette1x5Right|PixelForwardPlaquette2x3Down|PixelForwardPlaquette2x3Up|PixelForwardPlaquette2x4Down|PixelForwardPlaquette2x4Up|PixelForwardPlaquette2x5Down|PixelForwardPlaquette2x5Up|PixelForwardServiceCylinderMinus|PixelForwardServiceCylinderPlus|PixelForwardZMinus|PixelForwardZPlus|SF|SFFoam1|TECICBCont0B1|TECICBCont0B2|TECICBCont0F1|TECICBCont0F2|TECICBCont3B1|TECICBCont3B2|TECICBCont3F1|TECICBCont3F2|TECICBCont6B1|TECICBCont6B2|TECICBCont6F1|TECICBCont6F2|TECICBCont8B1|TECICBCont8B2|TECICBCont8F1|TECICBCont8F2|TECModule0|TECModule0BridgeGap|TECModule1|TECModule1BridgeGap|TECModule2|TECModule3|TECModule3BridgeGap|TECModule4|TECModule4BridgeGap|TECModule5|TECModule5BridgeGap|TECModule6|TECModule6BridgeGap|TECPatchpanel|TECPetalCont0B|TECPetalCont0F|TECPetalCont3B|TECPetalCont3F|TECPetalCont6B|TECPetalCont6F|TECPetalCont8B|TECPetalCont8F|TECPetalFrame0B|TECPetalFrame3B|TECPetalFrame6B|TECPetalFrame8B|TECRing0B|TECRing0F|TECRing1B|TECRing1F|TECRing2B|TECRing2F|TECRing3B|TECRing3F|TECRing4B|TECRing4F|TECRing5B|TECRing5F|TECRing6B|TECRing6F|TECServices|TECWheel6|TECWheelA|TECWheelB|TECWheelC|TECWheelD|TECWheels|TIB|TIBLayer0|TIBLayer0CylinderIn|TIBLayer0Down|TIBLayer0Up|TIBLayer1|TIBLayer1CylinderIn|TIBLayer1Down|TIBLayer1Up|TIBLayer2|TIBLayer2CylinderIn|TIBLayer2Down|TIBLayer2Up|TIBLayer3|TIBLayer3CylinderIn|TIBLayer3Down|TIBLayer3Up|TIBModCFFrameHole|TIBModKaptonBoxHole|TIBModLedgeBox|TIBModule0A|TIBModule0B|TIBModule2|TIBString0LoMin1|TIBString0LoPls1|TIBString0UpMin1|TIBString0UpPls1|TIBString1LoMin1|TIBString1LoPls1|TIBString1UpMin1|TIBString1UpPls1|TIBString2LoMin1|TIBString2LoPls1|TIBString2UpMin1|TIBString2UpPls1|TIBString3LoMin1|TIBString3LoPls1|TIBString3UpMin1|TIBString3UpPls1|TIBTIDServicesB|TIBTIDServicesF|TIBTIDTSTCabCont|TIDB|TIDF|TIDModule0L|TIDModule0R|TIDModule0StereoFrameHole|TIDModule0StereoKaptonHole|TIDModule1L|TIDModule1R|TIDModule1StereoFrameHole|TIDModule1StereoKaptonHole|TIDModule2|TIDModule2RphiFrameHole|TIDModule2RphiKaptonHole|TIDRing0B|TIDRing0F|TIDRing1B|TIDRing1F|TIDRing2|TIDWheelB|TIDWheelF|TOB|TOBAlignT3In|TOBAlignT4In|TOBAxService_10A|TOBAxService_10C|TOBAxService_14C|TOBAxService_15A|TOBAxService_1A|TOBAxService_1C|TOBAxService_5C|TOBAxService_6A|TOBConnect2|TOBConnect3|TOBConnect5|TOBConnect6|TOBDOHMs|TOBLayer0|TOBLayer1|TOBLayer2|TOBLayer3|TOBLayer4|TOBLayer5|TOBModule0|TOBModule2|TOBModule4|TOBNomexTube3|TOBNomexTube4|TOBPotting2|TOBRod0H|TOBRod0L|TOBRod1H|TOBRod1L|TOBRod2H|TOBRod2L|TOBRod4H|TOBRod4L|TOBRod5H|TOBRod5L|TOBRodCentral0H|TOBRodCentral0L|TOBRodCentral1H|TOBRodCentral1L|TOBRodCentral2H|TOBRodCentral2L|TOBRodCentral3H|TOBRodCentral3L|TOBRodCentral4H|TOBRodCentral4L|TOBRodCentral5H|TOBRodCentral5L|TOBSideDisk|Tracker|TrackerBulkhead|TrackerOuterCylinder|TrackerThermalScreenManifold)$	-	-	-	-	0	0.0	0.005
RULE	45	fpix_misc	^(PixelForwardPanelBaseEarBe|PixelForwardPanelBaseEarBe_refl|PixelForwardPanelBaseMainBe|PixelForwardPanelBaseMainBe_refl|PixelForwardPanelBaseNoseBe|PixelForwardPanelBaseNoseBe_refl)$	-	-	-	-	0	0.0	0.1
RULE	46	tracker_misc	^(BeamVacuum1)$	-	-	-	-	0	0.0	0.1
